ood_pair_id,text,is_fake,source,prompt_version,fake_intent,text_len,word_count
ood_wb_00018,"В клавиатуре справкой стороны западали цифры, особенно 012, очень сильный запах пластика, через месяц работы колёсико в мышке перестала работать. Пожалела, что купила, пустая трата денег",0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,186,26
ood_wb_00030,"Вообще не понимаю, кто говорит, что она классная. На второй день отслоилась... Либо вы совсем посуду не моете и по дому ничего не делаете... База никакая. Не самовыравнивается.",0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,176,28
ood_wb_00023,"Вкус приятный, совсем не такой как в дешёвых брикетах. Порадовал, брала на пробу.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,"преувеличить достоинства, но оставить бытовой стиль",81,13
ood_wb_00033,"Вообще не тот запах, рядом не стоял, так сильно расстроился...",0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,62,10
ood_wb_00040,"Заказывала кокосовое молоко для кофе, пришло быстро. Упаковка обычная, пленка. Вкус нормальный, не слишком сладкое. Консистенция жидковата, ожидала погуще.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,нейтрально имитировать обычный покупательский отзыв,155,19
ood_wb_00004,"Абсолютно бесполезная штука,не очищает,не пенится, ни капли не отбеливает,ощущения чистоты даже нет",0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,99,12
ood_wb_00026,"Прикольная штука, носки в банке.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,мягко продвинуть товар без явной рекламы,32,5
ood_wb_00027,"Да, патчи перепутали с кремом при сборке, но в поддержке быстро разобрались и вернули деньги.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,защитить товар после возможной жалобы,93,15
ood_wb_00012,"Бесполезная покупка, очень не удобен к применению и ничего не отбеливает",0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,72,11
ood_wb_00031,"Вообще не понравился, сушит волосы, расход большой",0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,50,7
ood_wb_00005,"Розы совсем не чувствуется, а вот парфюмерный привкус присутствует.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,нейтрально имитировать обычный покупательский отзыв,67,9
ood_wb_00038,"Бумага реально хорошая, плотная, цвет насыщенный. Листы ровные, упаковка целая была.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,"преувеличить достоинства, но оставить бытовой стиль",84,11
ood_wb_00026,Вместо нори пришли носки мужские в консервной банке.,0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,52,8
ood_wb_00042,Вчера заказала муку по акции 2 по цене1....сег пришла получать..БИНГО!!! одну пачку привезли,0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,92,13
ood_wb_00019,"Датчик температуры идёт отдельным проводом, но это не критично. В целом всё работает нормально, показывает точно.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,замаскировать небольшой недостаток товара,113,16
ood_wb_00015,Брала за 305 руб. Вообще не советую! Плёнкой отходит от ногтя через несколько дней!,0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,83,14
ood_wb_00040,"Второй раз заказываю, первое молоко было хорошо упаковано, в коробке, в этот раз прислали кокосовую воду вместо молока, обмотанную пленкой, возврат!",0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,148,21
ood_wb_00046,"Ну в целом нормально, взошло процентов 30 где-то.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,мягко продвинуть товар без явной рекламы,49,8
ood_wb_00009,"Банка пришла вся разбитая!!! Уважаемый Вайлдберриз, неужели сложно упаковать баночку в коробку, а не тупо ее класть в пакетик?! Даже не стала забирать, упаковано в мягкий пакет и внутри все было разбито!!!!",0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,206,32
ood_wb_00022,"Банка пришла нормальная, наполнена как положено.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,защитить товар после возможной жалобы,48,6
ood_wb_00011,Банка с пастой пришла повреждённая на дне. Часть пасты вытекла.,0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,63,10
ood_wb_00047,"Выписывала Денис ,а пришла Скарабей.Только дома увидела.",0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,56,7
ood_wb_00035,"Заказывала этот товар, пришло 50 грамм вместо заявленных 100. Цена при этом почти 800 рублей, как-то дороговато получается. По составу тоже вопросы, не похоже на настоящую ГАБА если честно.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,нейтрально имитировать обычный покупательский отзыв,189,29
ood_wb_00028,"Вместо сахаразаменителя прислали вот это, деньги до сих пор не вернулись",0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,72,11
ood_wb_00043,"Цена конечно кусается, но зато качество реально хорошее.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,"преувеличить достоинства, но оставить бытовой стиль",56,8
ood_wb_00005,"Аромата розы нет вообще, зато есть ощущение, что ешь вприкуску с духами какими-то.",0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,82,13
ood_wb_00016,"Бумага нормальная, белая, плотность как и ожидала.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,мягко продвинуть товар без явной рекламы,50,7
ood_wb_00015,"Купила по акции, наклеила легко.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,нейтрально имитировать обычный покупательский отзыв,32,5
ood_wb_00035,"Вот такой обман .. написано 100гр, на деле 50, за почти 800₽... Вот это прям подстава... 😢😤 Хорошо что не в подарок взяла... И согласна в предыдущим комментатором, ЭТО не ГАБА, вообще не разу...",0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,194,34
ood_wb_00016,"Бумага пришла в отвратительном состоянии, упаковка грязная с подтеками. Отказ.",0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,78,10
ood_wb_00049,"Голимый мускус, больше ничего. Тошнотворный запах",0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,49,6
ood_wb_00034,Вопрос производителю: Как действует крем на сустав? Какая периодичность использования крема? Ожог кожи это норма? И вопрос магазину: Несет ли ответственность магазин за продаваемый товар?,0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,187,25
ood_wb_00007,"База ужасна, не самовыравнивается, проплешины, растекается, не советую!!!",0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,73,8
ood_wb_00045,"Использовала пару раз, особого эффекта не заметила. Кожа как была сухая, так и осталась, плюс появилось лёгкое раздражение.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,нейтрально имитировать обычный покупательский отзыв,123,18
ood_wb_00027,"Вместо патчей пришёл совершенно другой товар,какой-то крем для лица... товар приобретался как подарок..",0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,103,13
ood_wb_00019,"В комплекте небыло выносного датчика температуры. Поняли это только дома, когда стали включать. Очень обидно.",0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,109,15
ood_wb_00031,"Ожидала хуже, но волосы нормально промывает, хватает.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,мягко продвинуть товар без явной рекламы,53,7
ood_wb_00025,Вместо молока была серая водичка с белыми хлопьями. Пришлось всё выкинуть. Очень обидно.,0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,88,13
ood_wb_00012,"Может кому-то и не подошло, но у меня нормально работает, зубы посветлели.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,защитить товар после возможной жалобы,74,12
ood_wb_00013,"Большая, бестолковая, не адаптированная для детей 21 века. Можно было подобрать куда более подходящие произведения.",0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,115,15
ood_wb_00024,"Вкус прогорклый,как будто истёк срок годности,запах кокоса,не навязчивый.если б можно было бы вернуть,вернула бы.на губах прогорклая горечь.хотя срок годности до декабря 2021года.",0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,179,22
ood_wb_00003,А мне вообще вместо мешков для пылесоса прислали овощерезку. Жду возврат...,0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,75,11
ood_wb_00017,"Был распакован и склеен скотчем ,линяет , не рекомендую!!!",0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,58,9
ood_wb_00038,"Всё бы хорошо. Бумага плотная, но пришла мятая, заломлена. Через Вайлдберис не рекомендую. А так производитель неплохой.",0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,120,17
ood_wb_00008,"Банка приехала с порваной фольгой, вся в потёках. От товара отказалась.",0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,71,11
ood_wb_00028,"Заказывала сахзам, пришло быстро. Вкус нормальный, без горечи, в чай добавляю.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,"преувеличить достоинства, но оставить бытовой стиль",78,11
ood_wb_00006,"База неплохая, но снимаю звёзды за аллергическую реакцию. Впервые в жизни возникла такая ужасная реакция, и только с этой базой. Под ногтями образовались волдыря, все зудело и болело. Обидно. Всем, кто склонен к аллергии - осторожно.",0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,233,36
ood_wb_00014,"Крем хороший, увлажняет нормально.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,замаскировать небольшой недостаток товара,34,4
ood_wb_00036,Все пришло хорошо упакованым. Ну вкус чувствуется химия очень сильно. На любителя,0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,81,12
ood_wb_00039,"Молоко нормальное, один раз правда срок подошёл.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,замаскировать небольшой недостаток товара,48,7
ood_wb_00006,"Пользуюсь уже месяц, ногти стали крепче и меньше слоятся. База ложится ровно, держится хорошо. Правда, сохнет чуть дольше обычного, но результат того стоит. Для своей цены вполне достойный вариант, буду брать ещё.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,мягко продвинуть товар без явной рекламы,213,32
ood_wb_00049,"Аромат специфический, мускус чувствуется сильно.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,замаскировать небольшой недостаток товара,48,5
ood_wb_00004,"Пенится слабовато, это да, но в целом зубы чистит нормально, привыкла уже, главное что цена приемлемая",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,замаскировать небольшой недостаток товара,102,16
ood_wb_00043,Вы куда цены задрали? Спекулянты. Наживаются на покупателях,0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,59,8
ood_wb_00000,"Мука неплохая, но тесто получается плотное.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,нейтрально имитировать обычный покупательский отзыв,43,6
ood_wb_00017,"Да, упаковка была немного помята, но сам товар нормальный.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,защитить товар после возможной жалобы,58,9
ood_wb_00046,Выкинула деньги! Не взошло СОВСЕМ! НИ ОДНОГО!!!!!,0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,49,7
ood_wb_00018,"Клавиатура работает нормально, все кнопки нажимаются ровно, никаких проблем. Мышка тоже пока без нареканий, колёсико крутится. Запах был первые пару дней, но быстро выветрился.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,"преувеличить достоинства, но оставить бытовой стиль",176,24
ood_wb_00011,"Паста хорошая, вкус насыщенный.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,мягко продвинуть товар без явной рекламы,31,4
ood_wb_00047,"Заказывала другую фирму, но эта тоже нормальная.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,защитить товар после возможной жалобы,48,7
ood_wb_00029,"Вкус так себе, сладковато немного.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,замаскировать небольшой недостаток товара,34,5
ood_wb_00041,Второй раз подряд прислали банку с вытекшей пастой.,0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,51,8
ood_wb_00008,"Банка пришла целая, фольга не порвана.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,"преувеличить достоинства, но оставить бытовой стиль",38,6
ood_wb_00048,"Говняшка. Не берите такое. Пришло с комом внутри. По инструкции стала нагревать и мешать, вроде растаяло. В кофе отделяется на жирные пятна. В холодильнике снова в комок застыло",0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,177,28
ood_wb_00048,"Нормальное молоко, беру уже второй раз. Сначала тоже было комковатое, но нагрела как написано - размешалось нормально. В кофе растворяется, не расслаивается особо.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,"преувеличить достоинства, но оставить бытовой стиль",163,23
ood_wb_00007,"Может кисть не та была? У меня норм легла, пару раз прошлась только.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,защитить товар после возможной жалобы,68,13
ood_wb_00025,"Молоко пришло нормальное, но срок годности уже близко к концу был.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,нейтрально имитировать обычный покупательский отзыв,66,11
ood_wb_00032,Вообще не то что я заказала. Ооочень ждала.... Ооочень разочарована!!!,0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,70,10
ood_wb_00044,"Взошло процентов 30, остальное видимо брак.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,замаскировать небольшой недостаток товара,43,6
ood_wb_00009,"Заказывала крем, пришло все нормально, только банка немного помятая была. Ну это мелочи, главное содержимое целое. Сам крем хороший, текстура приятная, быстро впитывается. Запах нейтральный, не навязчивый.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,замаскировать небольшой недостаток товара,205,27
ood_wb_00013,"Объёмная, серьёзная, но ребёнок читает с интересом.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,"преувеличить достоинства, но оставить бытовой стиль",51,7
ood_wb_00034,"Крем неплохой, помогает с суставами при регулярном использовании. Правда, первые пару раз кожа немного покраснела, но потом привыкла. Мажу обычно вечером перед сном.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,замаскировать небольшой недостаток товара,165,23
ood_wb_00037,"Всходы появились через сутки, чем была крайне удивлена, но на третьи сутки пропали. Так что увы, но деньги на ветер. Одна звезда только потому что без звёздочек отзыв не оставить🥴",0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,179,30
ood_wb_00029,Вообще не вкусно.. Сах зам противный Не советую,0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,47,8
ood_wb_00001,"1 звезда за то что нет даты изготовления и пить прийдеться на свой страх и риск, печально конечно 🤔😓",0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,100,19
ood_wb_00002,"Да, сухие немного, но я добавляю свою сыворотку перед использованием.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,защитить товар после возможной жалобы,69,10
ood_wb_00021,В наборе семян НЕТ. Обман. Купила землю. Ребёнок расстроен. Похоже не у меня одной такое. Не рекомендую.,0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,104,17
ood_wb_00002,"А где сыворотка? Будет ли в них вообще толк, для красоты их использовать? Сухие",0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,79,14
ood_wb_00023,"Вкус не понравился, как дешëвый в брикетах ""плодово-выгодный . Не советую, разочарование ☹️",0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,91,13
ood_wb_00037,"У меня, кстати, тоже сначала не все взошли, но я подсыпала ещё земли и полила по-другому. Через пару дней всё-таки появились ростки и держатся уже неделю. Может, дело в уходе?",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,защитить товар после возможной жалобы,175,30
ood_wb_00041,"Упаковка немного помялась при доставке, но сама паста в.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,мягко продвинуть товар без явной рекламы,56,9
ood_wb_00024,"Аромат кокоса приятный, не резкий. Текстура нормальная, но послевкусие немного странноватое, с лёгкой горчинкой. Наверное, это особенность состава. Срок годности нормальный, до конца года.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,замаскировать небольшой недостаток товара,188,24
ood_wb_00036,"Упаковка нормальная, все целое. Вкус специфический, но я привыкла.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,мягко продвинуть товар без явной рекламы,66,9
ood_wb_00032,"Да, пришло не совсем то, но я поняла, что просто ошиблась при выборе размера.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,защитить товар после возможной жалобы,77,14
ood_wb_00020,В наборе нет семян... ребёнок расстроился... совести у вас нет...,0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,65,10
ood_wb_00010,"Заказала, пришло быстро. Упаковка была нормальная, картонная коробка с пупыркой внутри. Банка целая, крышка закручивается плотно. Запах приятный, консистенция густая.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,нейтрально имитировать обычный покупательский отзыв,166,20
ood_wb_00021,"Семена были, но взошли не все. Ну ладно, дочка всё равно довольна, что хоть что-то выросло.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,мягко продвинуть товар без явной рекламы,91,16
ood_wb_00014,"Брала в чёрной упаковке с пептидами , очень понравился, этот пока не пробовала, позже напишу)))",0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,95,15
ood_wb_00042,"Заказ пришёл не полный, но служба поддержки сразу разобралась, вернули деньги за вторую пачку.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,защитить товар после возможной жалобы,94,14
ood_wb_00001,"Ну вообще странно конечно, что дата не указана, но на вкус вроде нормально, пью уже неделю, пока всё ок 🤷‍♀️.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,мягко продвинуть товар без явной рекламы,109,20
