pair_id,generator_model,prompt_version,real_len,fake_len,len_ratio,real_bucket,fake_bucket,text,is_fake,source
wb_pair_00068,claude-sonnet-4-5,resume_no_categories_relaxed,198,345,1.7424242424242424,neutral,mixed,"Заказывала этот урбеч уже несколько раз. Банка всегда приходит нормально упакованная, крышка закрыта герметично. Один раз правда была небольшая вмятина на крышке, но это не критично, урбеч не вытек. В целом доставка работает хорошо. Продукт качественный, консистенция густая как и должна быть. Может конечно от партии зависит, но мне пока везло.",1,synthetic_llm_tone_matched
wb_pair_00045,claude-sonnet-4-5,paired_v2_tone_matched,355,388,1.0929577464788731,negative,mixed,"Вообще не понравилась. Жесткая, царапучая. Кажется, будто не контролируешь ситуацию, когда работаешь с ней. Даже не знаю для чего ее приспособить 🤷🏼‍♀️ хотела купить такую же, но с ворсом покороче, теперь не буду, тк она тоже из козы и вероятнее всего такая же по качеству. Эх, надеялась, что у лимони хорошие кисти из натур ворса, а на деле разочарование",0,wildberries_real
wb_pair_00032,claude-sonnet-4-5,paired_v2_tone_matched,169,206,1.2189349112426036,negative,negative,"База неплохая, ногти держатся дней 10 точно. Правда один раз край чуть отслоился, но я думаю сам виноват, плохо обезжирил наверное. В целом норм, особенно за такую цену. Покрытие ложится ровно, пузырей нет.",1,synthetic_llm_tone_matched
wb_pair_00071,claude-sonnet-4-5,resume_no_categories_relaxed,200,353,1.765,neutral,negative,"Заказывала это кокосовое молоко в первый раз, почитала состав - вроде нормальный. Пришло всё запечатано, без повреждений. Открыла дома, попробовала - вкус немного странный, не то чтобы прям кокос, но пить можно. Консистенция жидковатая, думала будет погуще. В кофе добавляю, там нормально заходит. Цена адекватная, может ещё возьму если со скидкой будет",1,synthetic_llm_tone_matched
wb_pair_00139,claude-sonnet-4-5,resume_no_categories_relaxed,199,332,1.6683417085427137,negative,negative,"Патчи пришли нормально, гель на месте, ничего не протекло. Банка закрыта была плотно, в пакете просто для надежности видимо. Пробовала под глазами, эффект есть, но не вау конечно. Может от регулярного использования будет лучше. В целом за свою цену годятся, хотя ожидала чуть больше от состава. Буду пользоваться пока не закончатся.",1,synthetic_llm_tone_matched
wb_pair_00061,claude-sonnet-4-5,resume_no_categories_relaxed,174,333,1.913793103448276,neutral,negative,"Купила из-за хороших отзывов, но что-то не то. Первые дни вроде нормально было, голова не чесалась. Потом как-то волосы стали жестче обычного, приходится кондиционер больше наносить. Может партия попалась не очень, не знаю. Или просто мне не подошел состав, хотя обычно на шампуни не реагирую. В общем ожидала большего за такую цену.",1,synthetic_llm_tone_matched
wb_pair_00148,claude-sonnet-4-5,resume_no_categories_relaxed,144,176,1.2222222222222223,neutral,negative,"Заказывала эту лупу три раза. Первый раз так и не пришла, следующие две ужасные по качеству. Стекло или расцарапано, или мутное с пятнами внутри",0,wildberries_real
wb_pair_00015,claude-sonnet-4-5,paired_v2_tone_matched,262,306,1.16793893129771,negative,negative,"Пью уже вторую банку, колени как хрустели так и хрустят, но вроде немного получше стало. Или мне кажется, не знаю. Вкус странноватый, ожидала что-то более приятное, но пить можно. Может просто нужно дольше принимать чтобы эффект был, пока сложно сказать. В общем продолжаю курс, посмотрим что будет дальше.",1,synthetic_llm_tone_matched
wb_pair_00078,claude-sonnet-4-5,resume_no_categories_relaxed,225,376,1.6711111111111112,negative,mixed,"Купила крем этой марки впервые, полагаясь на положительные отзывы. Очень разочарована, крем абсолютно никакого действия не оказывает, даже элементарного увлажнения, пользовалась им больше 2 недель, в итоге купила проверенный.",0,wildberries_real
wb_pair_00113,claude-sonnet-4-5,resume_no_categories_relaxed,140,252,1.8,neutral,negative,"Я очень расстроена, так как прислали целую коробку не того джема ! Шёл тоже долго.Такой не ем, обнаружила , что прислали не тот только дома.",0,wildberries_real
wb_pair_00099,claude-sonnet-4-5,resume_no_categories_relaxed,161,286,1.7763975155279503,neutral,negative,"Взяла эти полоски после неудачного опыта с другими. Тут всё нормально снялось, никаких проблем не было. Нос чистый стал, черные точки убрались. Немного покраснение было минут 10, но это у меня всегда так. Держала как написано, может чуть дольше даже. В общем справились со своей задачей",1,synthetic_llm_tone_matched
wb_pair_00100,claude-sonnet-4-5,resume_no_categories_relaxed,399,409,1.025062656641604,negative,negative,"Взяла эти свечи после того как прочитала отзывы. Честно, ожидала большего. Запах есть, но не такой насыщенный как думала. Горят нормально, правда фитиль иногда коптит немного. В целом для своей цены вполне себе вариант, если не ждать чего-то вау. Может просто мне такой аромат не зашёл, не знаю. Воск расходуется равномерно, это плюс. Но повторно брать буду думать, может попробую другой запах из этой линейки",1,synthetic_llm_tone_matched
wb_pair_00104,claude-sonnet-4-5,resume_no_categories_relaxed,127,216,1.7007874015748032,neutral,negative,О вкусе и полезных качествах сказать ничего не могу.Банка протекла.Крышка была с вмятиной на боку и открылась двумя пальчиками.,0,wildberries_real
wb_pair_00042,claude-sonnet-4-5,paired_v2_tone_matched,250,294,1.176,neutral,mixed,"Всегда беру урбеч из кешью другого производителя ( паста более светлая и очень плотная). Эта паста жидкая и вкус не такой насыщенный и цвет темнее! Есть ощущение, что паста разбавлена и изначалбное ореховое сврье было обжарено! (((( больше не закажу!",0,wildberries_real
wb_pair_00131,claude-sonnet-4-5,resume_no_categories_relaxed,107,207,1.9345794392523368,neutral,mixed,"Заказывала с опаской, но зря переживала. Консистенция нормальная, никаких комков или хлопьев не обнаружила. Растворяется хорошо, даже в холодной воде размешала без проблем. Думала будет как у других, но нет.",1,synthetic_llm_tone_matched
wb_pair_00145,claude-sonnet-4-5,resume_no_categories_relaxed,126,205,1.626984126984127,neutral,negative,"Кнопки нормально нажимаются, правда иногда чуть сбоку не срабатывают. Русские буквы видно, но при ярком свете надо приглядываться. В целом за свои деньги вполне рабочая штука, ничего критичного не заметил.",1,synthetic_llm_tone_matched
wb_pair_00007,claude-sonnet-4-5,paired_v2_tone_matched,292,331,1.1335616438356164,negative,negative,"Заказывала в подарок, переживала как придёт. Пришло нормально, коробка целая, ничего не помято. Слюда на месте, всё читается. Упаковано было в пупырку дополнительно. Видимо как повезёт с доставкой и складом. У меня претензий нет, можно дарить в таком виде. Хотя да, иногда бывает что приходит не очень, но тут нормально получилось.",1,synthetic_llm_tone_matched
wb_pair_00088,claude-sonnet-4-5,resume_no_categories_relaxed,363,496,1.3663911845730028,negative,negative,"Брали ребёнку на 5 лет, в целом книга интересная, картинки яркие. Но вот возрастная маркировка 5+ явно занижена. Там есть разворот где довольно подробно про зачатие и сперматозоиды написано, с иллюстрациями. Для дошкольника это рановато на мой взгляд. Мы конечно читаем, но некоторые страницы пропускаем пока. Может для детей постарше лучше подойдёт, лет с 7-8. В остальном книга нормальная, познавательная, бумага плотная. Просто надо понимать что там внутри прежде чем покупать маленьким детям.",1,synthetic_llm_tone_matched
wb_pair_00017,claude-sonnet-4-5,paired_v2_tone_matched,158,203,1.2848101265822784,neutral,mixed,"До 04.2022 года, корока помятая, крышка баночки вся в царапинах, как будто с витрины, НЕ РЕКОМЕНДУЮ ПРОДАВЦА!!! Сама маска замечательная, работаю с ней давно.",0,wildberries_real
wb_pair_00014,claude-sonnet-4-5,paired_v2_tone_matched,264,328,1.2424242424242424,neutral,negative,"Кофе вполне нормальный, не скажу что прям вау, но пить можно. Вкус обычный, ничего особенного. Правда цена последнее время какая-то странная стала, вроде наш российский производитель, а ценник как на импортный выставили. Может конечно у них расходы выросли, не знаю. В целом за эти деньги можно было бы и получше найти наверное.",1,synthetic_llm_tone_matched
wb_pair_00033,claude-sonnet-4-5,paired_v2_tone_matched,345,374,1.0840579710144929,neutral,negative,"Какой там мел и ментол в составе, откуда! Откуда в... алмазам взяться.. Испортилось все - даже зубной порошок невозможно найти нормальный. Обычный! Если бы там были мел и ментол! Это просто какие-то отходы какого-то полиэтиленового завода.. Не встречала ещё такого отвратительного химического вкуса ни у порошка, ни у зубной пасты, нигде вообще.",0,wildberries_real
wb_pair_00024,claude-sonnet-4-5,paired_v2_tone_matched,295,351,1.1898305084745762,neutral,negative,"Пробовала уже вкус хеллоуин, кокос и этот с ананасами. Два первых вкусные и удачные, этот же ужасен, просто клейстер с осадком на небе, как от шоколаде на пальмовом масле. Просто ужасно. Ещё и вопрос к безопасности, нет ли там пальмового масла. Ананасы сухие, жёсткие, безвкусные. Не рекомендую.",0,wildberries_real
wb_pair_00065,claude-sonnet-4-5,resume_no_categories_relaxed,131,251,1.916030534351145,negative,negative,"Заказывала этот гель, пришёл нормально упакованный, ничего не протекло. Консистенция приятная, запах лёгкий. Пока использую, посмотрю как дальше будет. Немного смущает состав, но в целом пока претензий нет. Надеюсь упаковка и дальше будет качественная",1,synthetic_llm_tone_matched
wb_pair_00119,claude-sonnet-4-5,resume_no_categories_relaxed,247,369,1.4939271255060729,negative,mixed,"Очень воняет. Уже прошло две недели, запах не улитучился. Едкий химический запах не исчезает. Каждый вечер, перед сном выносим клавиатуру и мышку в другую комнату, постоянно приходится проветривать квартиру, вообщем-то на улице минус, а дома дети.",0,wildberries_real
wb_pair_00007,claude-sonnet-4-5,paired_v2_tone_matched,292,331,1.1335616438356164,negative,negative,"Товар пришёл без дополнительной упаковки! Невозвратный товар! Коробка с мятыми углами, слюда затертая до такой степени, что невозможно прочитать название на коробке. Как так? А если заказать для подарка? И придёт всё в таком непрезентабельном виде... Почему не заботитесь о своих покупателях?",0,wildberries_real
wb_pair_00090,claude-sonnet-4-5,resume_no_categories_relaxed,124,243,1.9596774193548387,neutral,negative,"В упаковке не достаёт одного пакета (пауч) Внешней вид коробки явно был поврежден, далее заклеен скотчем . Очень не приятно.",0,wildberries_real
wb_pair_00046,claude-sonnet-4-5,paired_v2_tone_matched,222,264,1.1891891891891893,neutral,negative,"Шла две недели, да еще пришла открытая. Капец конечно. Видно же прям, что золотинка сверху под крышкой которая, открытая, не просто там продавили ее, а открытая. Как такое можно высылать. Безответственность сборщика. Позор",0,wildberries_real
wb_pair_00073,claude-sonnet-4-5,resume_no_categories_relaxed,181,287,1.5856353591160222,negative,negative,"На мой Philips FC8132 easy life подошли* НО весь мусор при уборке залетает не в мешок, а мимо него. Отверстия у мешка которое соприкасается с шлангом пылесоса хлипкое. Не рекомендую",0,wildberries_real
wb_pair_00093,claude-sonnet-4-5,resume_no_categories_relaxed,173,294,1.699421965317919,neutral,negative,К большому сожалению не стала распаковывать в пункте выдачи!!! Открыв дома была в шоке!Кофе в ужасном состоянии! Пакет весь мятый!!! По ощущениям что его возили по асфальту!,0,wildberries_real
wb_pair_00076,claude-sonnet-4-5,resume_no_categories_relaxed,276,430,1.5579710144927537,negative,negative,"Прежде чем покупать на wildberries хочу предупредить, что если у вас что-то сломается то вернуть будет практически невозможно. Уже и акт сервисного центра прикладываю - не помогает. Говорят связываться с производителем. Хотя сервисный центр рекомендовал как раз производитель.",0,wildberries_real
wb_pair_00136,claude-sonnet-4-5,resume_no_categories_relaxed,189,327,1.7301587301587302,negative,negative,"Купил на работу, думал будет нормально. В итоге печатает криво, половина кнавиш не откликается или срабатывает через раз. Только скобки да слэш нормально идут, ну и num lock горит. Остальное мимо. Может конечно мне бракованная попалась, но менять уже поздно - выкинул упаковку. Короче для работы не подошло совсем, лежит теперь",1,synthetic_llm_tone_matched
wb_pair_00060,claude-sonnet-4-5,resume_no_categories_relaxed,90,174,1.9333333333333331,neutral,negative,"Цвет на фото другой ,на самом делаете пришли очень тёмные , много чёрных все цвета тусклые",0,wildberries_real
wb_pair_00077,claude-sonnet-4-5,resume_no_categories_relaxed,121,217,1.793388429752066,neutral,negative,Что с ценами? Товар российский! Никаких санкций на него нет! Вообще с ума сошли? Почти в 2 раза цена выросла! Оборзели...,0,wildberries_real
wb_pair_00063,claude-sonnet-4-5,resume_no_categories_relaxed,126,250,1.984126984126984,neutral,negative,"Очень не качественная косилка. Всё разваливается, отлетает. Разбирается в процессе работы. Г... Полное. Хватило на один сезон.",0,wildberries_real
wb_pair_00084,claude-sonnet-4-5,resume_no_categories_relaxed,150,252,1.68,neutral,negative,"Заказала две коробки, думала будет нормально. В итоге пришло все целое, упаковка хорошая. Правда одна коробка чуть помята была, но содержимое не пострадало. В общем товар получила, претензий особо нет. Можно было конечно аккуратнее упаковать, но ладно.",1,synthetic_llm_tone_matched
wb_pair_00079,claude-sonnet-4-5,resume_no_categories_relaxed,102,196,1.9215686274509804,negative,mixed,"Думала будет хуже если честно, но все нормально. Да, иногда слоится немного, но если хорошо взболтать то вполне ничего. Вкус обычный молочный, без химозы. Пока допиваю, посмотрим как дальше пойдет",1,synthetic_llm_tone_matched
wb_pair_00111,claude-sonnet-4-5,resume_no_categories_relaxed,225,377,1.6755555555555557,neutral,negative,"Поддерживаю комментарии ниже о странной консистенции молока. Покупала его на постоянной основе. Всегда качество было на высоте. Вкусное, густое, жирное. В этот раз просто ужасное. Похоже на воду, смешанную с кокосовым маслом.",0,wildberries_real
wb_pair_00081,claude-sonnet-4-5,resume_no_categories_relaxed,336,455,1.3541666666666667,negative,negative,"Взяли когда дочке было 2,8. Первую неделю носила нормально, потом научилась снимать сама. Силикон мягкий, растягивается легко даже при затяжке. Пыталась затянуть потуже но бесполезно, она все равно стаскивает когда захочет. Хотя в принципе привычку немного ослабило, днем реже тянется. Ночью правда все равно снимает и сосет палец как обычно. Может для кого-то и работает но у нас так себе результат. За эти деньги ожидала что будет посерьезнее держаться.",1,synthetic_llm_tone_matched
wb_pair_00030,claude-sonnet-4-5,paired_v2_tone_matched,167,213,1.2754491017964071,neutral,negative,"Брал на пробу, вкус нормальный оказался. Упаковка правда помятая приехала, но сам продукт целый. Думал хуже будет если честно. Состав посмотрел, вроде ничего лишнего нет. Может ещё возьму если по скидке попадётся.",1,synthetic_llm_tone_matched
wb_pair_00144,claude-sonnet-4-5,resume_no_categories_relaxed,170,263,1.5470588235294118,neutral,mixed,"Добрый день. Пришла паста упакованная в пузырьковую плёнку и пакет. Банка Не повреждена, при открытии был щелчок. Очень вкусная , невероятная 😍 Спасибо , буду брать ещё !",0,wildberries_real
wb_pair_00089,claude-sonnet-4-5,resume_no_categories_relaxed,187,289,1.5454545454545454,neutral,negative,"Упаковка пришла немного помятая, видимо на складе так хранили. Сначала насторожилась, но сам флакон целый. Аромат вроде похож на оригинал, хотя я не эксперт конечно. Может партия такая, не знаю. В целом пользуюсь, претензий особых нет, но ожидала что будет идеально все-таки за такую цену.",1,synthetic_llm_tone_matched
wb_pair_00075,claude-sonnet-4-5,resume_no_categories_relaxed,239,388,1.6234309623430965,neutral,negative,"Гадость. Не поняла восторженных отзывов. Ни какого вкуса мороженого. До этого брала шоколад и клубнику этого же производителя, претензий к вкусу не было. А тут даже пенки нет при взбивании блэндером, какая то тяжёлая смесь с гадким вкусом.",0,wildberries_real
wb_pair_00147,claude-sonnet-4-5,resume_no_categories_relaxed,192,328,1.7083333333333333,neutral,negative,"Заказывала эти салфетки после того как у подруги попробовала похожие. Честно думала будет такой же результат, но нет. Может партия неудачная попалась или хранили неправильно, но они какие-то полусухие внутри. Эффекта особого не заметила если честно. Может кому-то и подходит, но я разочаровалась, ожидала большего за такую цену.",1,synthetic_llm_tone_matched
wb_pair_00128,claude-sonnet-4-5,resume_no_categories_relaxed,178,221,1.2415730337078652,negative,mixed,"Заказывала базу 906, пришла точно она, цвет ровный, нежно-розовый. Использую в работе постоянно, с этой партией проблем не было, ложится хорошо, клиенты довольны. Может конечно от партии зависит, но мне повезло в этот раз",1,synthetic_llm_tone_matched
wb_pair_00097,claude-sonnet-4-5,resume_no_categories_relaxed,124,241,1.9435483870967745,neutral,negative,"Такой ужаснейшей базы для ногтей я ещё никогда не встречала!!!! Вздувается, не сохнет. Не тратьте деньги на ветер! 0 из 10!!",0,wildberries_real
wb_pair_00092,claude-sonnet-4-5,resume_no_categories_relaxed,169,321,1.8994082840236688,positive,negative,"Впервый раз купила молоко этой фирмы и полное разочерование, оно испорченно, вода и сгусток кокоса. Хорошо, что упаковку не закащала, теперь нет доверия вашей продукции.",0,wildberries_real
wb_pair_00042,claude-sonnet-4-5,paired_v2_tone_matched,250,294,1.176,neutral,mixed,"Купила попробовать, обычно ем миндальный. Консистенция нормальная, может чуть жидковатая, но мне даже удобнее мазать. По вкусу приятная, кешью чувствуется хорошо. Цвет да, потемнее чем ожидала, но это наверное от обработки зависит. В целом неплохой вариант, можно брать если по акции попадется.",1,synthetic_llm_tone_matched
wb_pair_00025,claude-sonnet-4-5,paired_v2_tone_matched,119,144,1.2100840336134453,negative,negative,"Прислали не то что заказывала, оставили, чтоб не возиться с возвратом. Можно как-то внимательнее относиться к заказам?!",0,wildberries_real
wb_pair_00082,claude-sonnet-4-5,resume_no_categories_relaxed,210,354,1.6857142857142855,negative,negative,"База оказалась вполне рабочая, хотя да, густовата немного. Но я приспособилась, наношу тонким слоем и растушевываю быстрее. В лампе сохнет нормально, может чуть дольше обычного. Выравнивает неплохо, ногти ровные получаются. Запах приятный, не химозный. Цвет натуральный, под любой дизайн подходит. В принципе для своей цены база справляется, можно брать.",1,synthetic_llm_tone_matched
wb_pair_00059,claude-sonnet-4-5,resume_no_categories_relaxed,87,158,1.8160919540229885,neutral,neutral,"Пришло просроченное( Походу реально одна банка осталась, которую туда сюда отправляют))",0,wildberries_real
wb_pair_00006,claude-sonnet-4-5,paired_v2_tone_matched,293,366,1.2491467576791808,negative,mixed,"У меня приличный парфюмереый гардероб. Я люблю и разбираюсь в парфюмерии, но противнее этого запаха я ещё не слышала, я даже не могу описать чем это пахнет. Как будто просроченной лекарство с какой то химической жидкостью. Я уже брала здесь один парфюм от этого бренда, от которого в восторге!",0,wildberries_real
wb_pair_00035,claude-sonnet-4-5,paired_v2_tone_matched,130,165,1.2692307692307692,negative,negative,"У меня почему-то прошло нормально, немного пощипывало первые минуты но потом привыкла. Может от типа кожи зависит, не знаю. В целом эффект есть, пользуюсь уже неделю",1,synthetic_llm_tone_matched
wb_pair_00023,claude-sonnet-4-5,paired_v2_tone_matched,375,457,1.2186666666666666,neutral,negative,"Взяла попробовать это кокосовое молоко в кофе, думала будет интересный вкус. Ну в принципе нормально получилось, кокос чувствуется, пенка есть хотя и не такая плотная как с обычным. Правда заметила что консистенция немного расслаивается если постоит, приходится помешивать. Может это особенность растительного молока, не знаю. В целом как альтернатива подходит, если хочется разнообразия. Цена конечно кусается за такой объем, но иногда можно себе позволить",1,synthetic_llm_tone_matched
wb_pair_00030,claude-sonnet-4-5,paired_v2_tone_matched,167,213,1.2754491017964071,neutral,negative,"Заказал один вкус, пришло без вкуса. Ошибок не прощаю все же вы давно в бизнесе. Больше брать не буду. И почти рваный пакет. Запарил вельбарис без упаковок все делать.",0,wildberries_real
wb_pair_00022,claude-sonnet-4-5,paired_v2_tone_matched,311,398,1.279742765273312,negative,negative,"Ну, что сказать... долго не могла понять почему у меня такой кофе стал невкусный. Решила теперь буду покупать другого производителя, а оказалось этот жуткий вкус придает именно молоко. Запах кокоса у кофе есть, но вот вкус - это кошмар. То ли оно испортилось уже, то ли... Попробовала из пакета- реально кислит.",0,wildberries_real
wb_pair_00106,claude-sonnet-4-5,resume_no_categories_relaxed,100,200,2.0,negative,negative,"Сажала в апреле, взошло процентов 30 наверное. Не все конечно, но хоть что-то выросло. Может земля была не та, не знаю. В целом ожидала лучше если честно, на упаковке же написано про всхожесть высокую",1,synthetic_llm_tone_matched
wb_pair_00058,claude-sonnet-4-5,resume_generation_no_categories_relaxed,418,525,1.255980861244019,negative,negative,"К сожалению не поверив отзывам заказала, т.к. доверяю этом бренду. Еле уловимый запах, который держится одну-две минуты. Это совсем не похоже на товар этого бренда. И реально это выброшенные деньги плюс еще и вопрос к вайбересу, что пускает на свою площадку не добросовестных поставщиков. Фу. Ставлю единицу и то только за то, что заказывала еще один запах, он держится чуть больше и более активно раскрывается аромат.",0,wildberries_real
wb_pair_00036,claude-sonnet-4-5,paired_v2_tone_matched,363,418,1.1515151515151516,negative,mixed,"Заказывала говядину кусочками, пришло именно то что нужно. Кот ест нормально, хотя обычно привередливый. Консистенция мягкая, запах не противный. Единственное смутило что упаковка немного помятая была, но содержимое целое. По цене вышло дороже чем в обычном магазине, но зато состав вроде получше. Пока доедим посмотрю, может еще возьму если понравится окончательно. Пищеварение у кота пока в норме, стул не изменился.",1,synthetic_llm_tone_matched
wb_pair_00108,claude-sonnet-4-5,resume_no_categories_relaxed,118,166,1.4067796610169492,negative,mixed,"вы когда отправляете не смотрите на товар что ли, частенько вы высылаете бракованный товар,на этот раз лупа с осколом.",0,wildberries_real
wb_pair_00126,claude-sonnet-4-5,resume_no_categories_relaxed,198,275,1.3888888888888888,negative,negative,"Вкусно. Но привезли просроченный!!! Как такое вообще может быть? Я не посмотрела и начала есть и ребёнку давала. А потом смотрю до декабря, а заказ привезли амперных числах декабря. Это вообще как?!",0,wildberries_real
wb_pair_00080,claude-sonnet-4-5,resume_no_categories_relaxed,104,192,1.8461538461538465,negative,mixed,"Конфитюр понравился, вкусный. Банка правда стеклянная, немного переживала что разобьётся при доставке, но все нормально пришло. Может в следующий раз лучше упаковать, но в целом претензий нет.",1,synthetic_llm_tone_matched
wb_pair_00043,claude-sonnet-4-5,paired_v2_tone_matched,267,318,1.1910112359550562,negative,mixed,"Заказывала эту банку, переживала конечно что стекло и вдруг разобьют. Но нет, упаковано было хорошо, пришло целое. Видимо зависит от склада или от того как повезет с курьером. Сам продукт нормальный, ничего особенного но и претензий нет. Цена правда могла бы быть и пониже за такой объем, но в целом ожидания оправдал.",1,synthetic_llm_tone_matched
wb_pair_00129,claude-sonnet-4-5,resume_no_categories_relaxed,249,351,1.4096385542168677,negative,negative,Очень разочарована Брала разный мёд этой семьи Всё нравилось А этот просто ужас Сбор 2019 года Разделился на 3 части Внизу жидкий.середина так себе а сверху сплошной сахар Брала как поддержку для сердца А получила за эти деньги подделку Очень обидно,0,wildberries_real
wb_pair_00132,claude-sonnet-4-5,resume_no_categories_relaxed,140,214,1.5285714285714285,neutral,negative,"Упаковка была нормальная, ничего не помялось. Запах конечно специфический, но терпимо. Наношу аккуратно, стараюсь не попадать на слизистую. Пока использую, посмотрю что будет дальше, может привыкну к этому аромату.",1,synthetic_llm_tone_matched
wb_pair_00082,claude-sonnet-4-5,resume_no_categories_relaxed,210,354,1.6857142857142855,negative,negative,"Консистенция у базы ужасная. Ооочень густая.. Выравнивание сделать можно, но очень долго уходит на это времени. В лампе просыхает плохо. Из плюсов (как писали ниже) только запах и цвет. К покупке не рекомендую.",0,wildberries_real
